categori_id,major_categori,medium_categori,minor_categori,categori_url
1,분유/기저귀/물티슈,유아간식/영양제,과자/젤리/사탕,https://prod.danawa.com/list/?cate=16349102&15main_16_03=
2,분유/기저귀/물티슈,유아간식/영양제,주스/음료/차,https://prod.danawa.com/list/?cate=16349100&15main_16_03=
3,젖병/출산/육아용품,젖병/수유용품,젖병,https://prod.danawa.com/list/?cate=16349219&15main_16_03=
4,젖병/출산/육아용품,젖병/수유용품,젖꼭지/노리개,https://prod.danawa.com/list/?cate=16349351
5,젖병/출산/육아용품,젖병/수유용품,보틀워머/수유용품,https://prod.danawa.com/list/?cate=16349350
6,분유/기저귀/물티슈,분유,힙/퓨어락,https://prod.danawa.com/info/?pcode=21210320&cate=16249091#bookmark_product_information
7,분유/기저귀/물티슈,분유,null,https://prod.danawa.com/info/?pcode=52267367&cate=16249091#bookmark_product_information
8,분유/기저귀/물티슈,분유,압타밀,https://prod.danawa.com/info/?pcode=37830821&cate=16249091#bookmark_product_information
9,분유/기저귀/물티슈,분유,앱솔루트,https://prod.danawa.com/info/?pcode=21229022&cate=16249091
10,분유/기저귀/물티슈,분유,특수분유,https://prod.danawa.com/info/?pcode=21235973&cate=16249091
11,유모차/카시트/외출,유모차,절충형,https://prod.danawa.com/info/?pcode=75941156&cate=16249192#bookmark_product_information
12,유모차/카시트/외출,유모차,휴대용,https://prod.danawa.com/info/?pcode=20834387&cate=16249192#bookmark_product_information
13,유모차/카시트/외출,유모차,절충형,https://prod.danawa.com/info/?pcode=26489594&cate=16249192#bookmark_product_information
14,유모차/카시트/외출,유모차,절충형,https://prod.danawa.com/info/?pcode=20799044&cate=16249192#bookmark_product_information
15,유모차/카시트/외출,유모차,휴대용,https://prod.danawa.com/info/?pcode=77466401&cate=16249192#bookmark_product_information
